"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"5/17/2024","5/20/2024","5/21/2024","OPGN","OpGen
CUSIP: 68373L406","SPR","1S","",""
"5/17/2024","5/20/2024","5/21/2024","BSFC","Blue Star Foods
CUSIP: 09606H309","SPR","0.02","",""
"5/17/2024","5/20/2024","5/21/2024","BSFC","Blue Star Foods
CUSIP: 09606H200","SPR","1S","",""
"5/17/2024","5/17/2024","5/21/2024","OPGN","OpGen
CUSIP: 68373L406","Buy","1","$0.49","($0.49)"
"5/17/2024","5/17/2024","5/21/2024","BSFC","Blue Star Foods
CUSIP: 09606H200","Buy","1","$0.08","($0.08)"
"5/16/2024","5/17/2024","5/20/2024","CTHR","Charles & Colvard
CUSIP: 159765106","SPR","1S","",""
"5/16/2024","5/17/2024","5/20/2024","HSCS","Heart Test Laboratories, Inc.
CUSIP: 42254E104","SPR","1S","",""
"5/16/2024","5/16/2024","5/16/2024","AAPL","Cash Div: R/D 2024-05-13 P/D 2024-05-16 - 1.033342 shares at 0.25","CDIV","","","$0.26"
"5/16/2024","5/16/2024","5/20/2024","CTHR","Charles & Colvard
CUSIP: 159765106","Buy","1","$0.30","($0.30)"
"5/16/2024","5/16/2024","5/20/2024","HSCS","Heart Test Laboratories, Inc.
CUSIP: 42254E104","Buy","1","$0.13","($0.13)"
"5/10/2024","5/10/2024","5/10/2024","IVP","Inspire Veterinary Partners
CUSIP: 45784E205","SPR","1","",""
"5/8/2024","5/8/2024","5/8/2024","IVP","Inspire Veterinary Partners
CUSIP: 45784E106","SPR","1S","",""
"5/8/2024","5/8/2024","5/8/2024","BZFD","BuzzFeed
CUSIP: 12430A300","SPR","1","",""
"5/6/2024","5/6/2024","5/8/2024","RCON","Recon Technology
CUSIP: G7415M132","Sell","1","$1.79","$1.79"
"5/6/2024","5/6/2024","5/8/2024","IVP","Inspire Veterinary Partners
CUSIP: 45784E106","Buy","1","$0.04","($0.04)"
"5/3/2024","5/6/2024","5/7/2024","BZFD","BuzzFeed
CUSIP: 12430A102","SPR","1S","",""
"5/3/2024","5/3/2024","5/7/2024","BZFD","BuzzFeed
CUSIP: 12430A102","Buy","1","$0.40","($0.40)"
"5/3/2024","5/3/2024","5/3/2024","RCON","Recon Technology
CUSIP: G7415M132","SPR","0.9444","",""
"5/3/2024","5/3/2024","5/7/2024","SOPA","Society Pass
CUSIP: 83370P201","Sell","1","$1.76","$1.76"
"5/3/2024","5/3/2024","5/7/2024","VINO","Gaucho Group
CUSIP: 36809R503","Sell","1","$4.42","$4.42"
"5/3/2024","5/3/2024","5/3/2024","SOPA","Society Pass
CUSIP: 83370P201","SPR","1","",""
"5/3/2024","5/3/2024","5/3/2024","VINO","Gaucho Group
CUSIP: 36809R503","SPR","1","",""
"5/1/2024","5/1/2024","5/3/2024","ALLR","Allarity Therapeutics
CUSIP: 016744401","Sell","0.05","$1.20","$0.06"
"5/1/2024","5/1/2024","5/3/2024","SMSI","Smith Micro Software
CUSIP: 832154405","Sell","0.125","$2.34","$0.29"
"5/1/2024","5/1/2024","5/3/2024","GSUN","Golden Sun Health Technology Group
CUSIP: G4013A115","Sell","1","$2.35","$2.35"
