Instrument,Activity Date,Buy Price,Sell Price,Quantity,Profit
MNTS,8/23/2023,0.24,8.0,1.0,7.76
MRAI,6/28/2023,0.48,1.63,1.0,1.15
MULN,12/19/2023,0.09,11.88,1.0,11.79
MULN,5/3/2023,0.07,11.88,1.0,11.81
MYMD,2/14/2024,0.13,3.52,1.0,3.39
NBY,5/30/2024,0.1,2.77,1.0,2.67
NRXP,4/1/2024,0.49,5.36,1.0,4.87
NTBL,10/20/2023,3.08,3.03,1.0,-0.0500000000000002
NUTX,4/9/2024,0.08,0.7,1.0,0.62
NVFY,5/23/2023,0.6,3.04,1.0,2.44
NVOS,11/6/2023,0.13,1.52,1.0,1.39
NVVE,1/19/2024,0.08,5.2,1.0,5.12
NXU,12/22/2023,0.02,2.19,1.0,2.17
OCG,10/17/2023,0.31,1.31,1.0,1.0
OPGN,5/17/2024,0.49,3.3,1.0,2.8099999999999996
OTRK,7/27/2023,0.38,1.64,1.0,1.2599999999999998
OUST,4/20/2023,0.39,3.44,1.0,3.05
PAVM,12/6/2023,0.23,2.9,1.0,2.67
PCSA,1/19/2024,0.26,2.11,1.0,1.85
PHUN,2/26/2024,0.15,7.96,1.0,7.81
PIXY,10/13/2023,0.71,11.55,1.0,10.84
PIXY,9/29/2023,0.78,11.55,1.0,10.77
PLAG,5/30/2024,0.2,2.05,1.0,1.85
PLUR,3/28/2024,0.81,5.66,1.0,4.85
POAI,4/21/2023,0.2,2.74,1.0,2.54
PRE,11/10/2023,0.34,4.8,1.0,4.46
PRFX,6/30/2023,0.56,5.8,1.0,5.24
PRSO,12/28/2023,0.26,6.63,1.0,6.37
PTIX,3/22/2023,0.43,1.68,1.0,1.25
RCON,4/29/2024,0.09,1.79,1.0,1.7
REBN,1/18/2024,0.41,3.02,1.0,2.61
RETO,2/28/2024,0.36,2.34,1.0,1.98
RETO,5/11/2023,0.23,2.34,1.0,2.11
REVB,1/24/2024,0.39,18.64,1.0,18.25
RNAZ,1/11/2024,0.14,2.18,1.0,2.04
RVYL,9/6/2023,0.67,4.23,1.0,3.5600000000000005
SBFM,4/16/2024,0.06,2.01,1.0,1.9499999999999995
SDIG,5/15/2023,0.68,5.43,1.0,4.75
SEAC,5/22/2023,0.44,8.25,1.0,7.81
SGLY,2/1/2024,0.62,2.92,1.0,2.3
SIDU,12/19/2023,0.04,4.06,1.0,4.02
SINT,5/23/2024,0.08,7.2,1.0,7.12
SISI,2/15/2024,0.13,1.6,1.0,1.4700000000000002
SLNH,10/12/2023,0.18,2.89,1.0,2.71
SMFL,10/26/2023,0.7,3.77,1.0,3.0700000000000003
SMFL,4/18/2024,0.46,3.77,1.0,3.31
SNCE,12/7/2023,0.25,4.16,1.0,3.91
SNCR,12/8/2023,0.47,3.63,1.0,3.16
SOPA,4/29/2024,0.12,1.76,1.0,1.64
SXTC,10/4/2023,0.11,2.65,1.0,2.54
TAOP,7/31/2023,0.55,2.76,1.0,2.21
TBLT,12/28/2023,0.16,7.92,1.0,7.76
TCON,4/9/2024,0.19,2.03,1.0,1.84
TENX,1/2/2024,0.26,13.26,1.0,13.0
THAR,11/20/2023,0.2,4.85,1.0,4.6499999999999995
THAR,5/22/2024,0.33,4.85,1.0,4.52
TLIS,7/5/2023,0.5,7.34,1.0,6.84
TNXP,5/9/2023,0.38,1.8,1.0,1.42
TNXP,6/6/2024,0.11,1.8,1.0,1.69
TTNP,1/5/2024,0.43,6.4,1.0,5.970000000000001
UCAR,3/28/2024,0.05,6.33,1.0,6.28
UK,11/29/2023,0.37,3.73,1.0,3.36
UPC,7/27/2023,0.37,1.52,1.0,1.15
VCNX,2/16/2024,0.73,7.61,1.0,6.880000000000001
VERB,4/18/2023,0.09,2.52,1.0,2.43
VERO,5/11/2023,0.21,2.79,1.0,2.58
VIA,3/21/2023,5.39,16.5,1.0,11.11
VINO,4/29/2024,0.63,4.42,1.0,3.79
VRAX,12/15/2023,0.18,1.48,1.0,1.3
VTVT,11/20/2023,0.36,10.64,1.0,10.28
VVOS,10/26/2023,0.26,3.12,1.0,2.8600000000000003
VVPR,10/5/2023,0.32,1.51,1.0,1.19
WAVD,10/17/2023,0.33,2.97,1.0,2.64
WGS,5/3/2023,0.26,8.35,1.0,8.09
WINT,4/18/2024,0.33,5.11,1.0,4.78
WNW,12/19/2023,0.08,2.2,1.0,2.12
WTER,4/4/2023,0.11,1.42,1.0,1.3099999999999998
XBIO,5/12/2023,0.33,2.83,1.0,2.5
XXII,7/3/2023,0.29,2.62,1.0,2.33
YOSH,11/27/2023,0.45,5.85,1.0,5.3999999999999995
ZAPP,4/18/2024,0.15,2.44,1.0,2.29
ZCMD,2/27/2024,0.38,1.82,1.0,1.44
ZVSA,12/1/2023,0.06,5.36,1.0,5.300000000000001
ZVSA,4/18/2024,0.63,5.36,1.0,4.73
