Instrument,Activity Date,Buy Price,Sell Price,Quantity,Profit
BON,4/10/2024,0.4,3.74,1.0,3.3400000000000003
FLNT,4/10/2024,0.5,2.7,1.0,2.2
SBFM,4/16/2024,0.06,2.01,1.0,1.9499999999999997
MI,4/11/2024,0.15,4.25,1.0,4.1
EDBL,4/4/2024,0.41,6.65,1.0,6.24
ALLR,4/8/2024,0.22,2.35,1.0,2.13
ALLR,6/28/2023,0.17,2.35,1.0,2.18
ALLR,3/24/2023,0.08,2.35,1.0,2.27
UCAR,3/28/2024,0.05,6.33,1.0,6.28
AWIN,4/1/2024,0.07,5.27,1.0,5.199999999999999
NRXP,4/1/2024,0.49,5.36,1.0,4.87
PLUR,3/28/2024,0.81,5.66,1.0,4.85
LGVN,3/26/2024,0.37,2.86,1.0,2.4899999999999998
INTZ,3/19/2024,0.2,2.84,1.0,2.6399999999999997
MBRX,3/21/2024,0.45,4.66,1.0,4.21
MLGO,3/21/2024,0.43,4.66,1.0,4.23
BTTR,3/19/2024,0.16,6.86,1.0,6.7
CISO,3/7/2024,0.1,1.25,1.0,1.15
LMFA,3/11/2024,0.52,2.7,1.0,2.18
CJJD,2/28/2024,0.18,2.96,1.0,2.78
ZCMD,2/27/2024,0.38,1.82,1.0,1.44
RETO,2/28/2024,0.36,2.34,1.0,1.98
RETO,2/28/2024,0.36,2.23,1.0,1.87
RETO,5/11/2023,0.23,2.34,1.0,2.11
RETO,5/11/2023,0.23,2.23,1.0,2.0
IFBD,3/1/2024,0.89,6.01,1.0,5.12
IFBD,3/1/2024,0.89,1.67,1.0,0.7799999999999999
IFBD,3/1/2024,0.89,1.61,1.0,0.7200000000000001
IFBD,11/17/2023,0.09,6.01,1.0,5.92
IFBD,11/17/2023,0.09,1.67,1.0,1.5799999999999998
IFBD,11/17/2023,0.09,1.61,1.0,1.52
IFBD,5/12/2023,0.26,6.01,1.0,5.75
IFBD,5/12/2023,0.26,1.67,1.0,1.41
IFBD,5/12/2023,0.26,1.61,1.0,1.35
ATNF,2/27/2024,0.21,3.38,1.0,3.17
PHUN,2/26/2024,0.15,7.96,1.0,7.81
LSDI,2/23/2024,0.23,1.8,1.0,1.57
AUUD,2/26/2024,0.16,3.2,1.0,3.04
LYT,2/22/2024,0.05,2.7,1.0,2.6500000000000004
BPTH,2/22/2024,0.38,5.51,1.0,5.13
VCNX,2/16/2024,0.73,7.61,1.0,6.880000000000001
BSGM,1/31/2024,0.17,0.44,1.0,0.27
SISI,2/15/2024,0.13,1.6,1.0,1.4700000000000002
MYMD,2/14/2024,0.13,3.52,1.0,3.39
EJH,2/13/2024,0.44,1.78,1.0,1.34
EJH,2/13/2024,0.44,0.9,1.0,0.46
EJH,9/22/2023,0.09,1.78,1.0,1.69
EJH,9/22/2023,0.09,0.9,1.0,0.81
SGLY,2/1/2024,0.62,2.92,1.0,2.3
FRGT,2/1/2024,0.23,2.06,1.0,1.83
GNPX,2/1/2024,0.19,6.45,1.0,6.26
CMAX,1/31/2024,0.45,6.99,1.0,6.54
MMAT,1/25/2024,0.06,3.86,1.0,3.8
KAVL,1/24/2024,0.14,2.52,1.0,2.38
REVB,1/24/2024,0.39,18.64,1.0,18.25
DTSS,1/19/2024,0.11,1.72,1.0,1.6099999999999999
CLEU,1/17/2024,0.17,2.2,1.0,2.0300000000000002
REBN,1/18/2024,0.41,3.02,1.0,2.61
NVVE,1/19/2024,0.08,5.2,1.0,5.12
PCSA,1/19/2024,0.26,2.11,1.0,1.8499999999999999
GMBL,12/21/2023,0.01,2.34,1.0,2.33
GMBL,12/20/2023,0.01,2.34,1.0,2.33
RNAZ,1/11/2024,0.14,2.18,1.0,2.04
TTNP,1/5/2024,0.43,6.4,1.0,5.970000000000001
DSS,12/28/2023,0.14,2.01,1.0,1.8699999999999997
ACON,1/3/2024,0.2,3.27,1.0,3.07
PRSO,12/28/2023,0.26,6.63,1.0,6.37
TENX,1/2/2024,0.26,13.26,1.0,13.0
TBLT,12/28/2023,0.16,7.92,1.0,7.76
MULN,12/19/2023,0.09,11.88,1.0,11.790000000000001
MULN,12/19/2023,0.09,1.42,1.0,1.3299999999999998
MULN,5/3/2023,0.07,11.88,1.0,11.81
MULN,5/3/2023,0.07,1.42,1.0,1.3499999999999999
AVTX,12/27/2023,0.05,8.18,1.0,8.129999999999999
NXU,12/22/2023,0.02,2.19,1.0,2.17
BKYI,12/19/2023,0.16,2.75,1.0,2.59
SIDU,12/19/2023,0.04,4.06,1.0,4.02
WNW,12/19/2023,0.08,2.2,1.0,2.12
CENN,11/30/2023,0.16,1.43,1.0,1.27
VRAX,12/15/2023,0.18,1.48,1.0,1.3
SNCR,12/8/2023,0.47,3.63,1.0,3.16
SNCE,12/7/2023,0.25,4.16,1.0,3.91
PAVM,12/6/2023,0.23,2.9,1.0,2.67
MCOM,12/1/2023,0.01,1.15,1.0,1.14
MCOM,12/1/2023,0.01,2.13,1.0,2.12
ENG,11/29/2023,0.24,2.02,1.0,1.78
LQR,11/29/2023,0.03,1.3,1.0,1.27
CING,11/29/2023,0.33,5.38,1.0,5.05
UK,11/29/2023,0.37,3.73,1.0,3.36
YOSH,11/27/2023,0.45,5.85,1.0,5.3999999999999995
